label,text_stripped
1f62d,그해여름 후기평가를 쭉 읽어보다가 호가 캐에 대해서 공통적으로 많이 하는 말을 발견함 1존재감개쩜 2연기개잘해 3새로운호가ㅇㅇ 4눈빛연기ㄷㄷ 5넘나잘생김 6그러니깐나도납치해줬으면 나도 영화 보고 감상 좀 써봤으면 
1f602,앗 그래서 지금 혀와 숨은 편안하신가요 
1f60d,고마워용 
1f62d,으아앙 
1f648,나는 처음보는 짤 같다 
1f49c,ㅋㄱㅋㅋㅋㅋ아니예요 전부다 어둠의 응가 푸드득뿌직뿌작님을 사랑해서 그런걸요 
1f62b,  광주 캐스팅 어익후 어퐈 고기먹고 힘내세요ㅠㅠ 종일반이라니 
2728,자기 소개표 
1f629,아이구 왜 그렇게 기여오
1f494,짜증나 
1f52b,밀회 매진이네요 아무 생각 없이 받았는데 세어보니까 수량 딱 맞음 
1f62c,정부 방중환대에 부글부글적전분열 안돼 2171511123355 헐 박근혜년이 천안문 망루 올라간게 불과 얼마전인데 이젠 중국을 아예 적성국가 취급이네지네가 못가는거 야당이 가주면 고맙다 그래야는거 아님 
1f603,이제 어지르실 차례입니다 
1f60c,요새는 밤낮이 바뀌어서 좀 덜한데저는 잠이 굉장히 많아서 별명이 잠만보입니다 어디든지 등만 닿으면 잠을 잘 수 있는 기술이 있어요 자면 키큰다는 말이 맞는거같습니다 그러지않고서야 이렇게 커질수가없어ㅇㅅㅇ
1f64c,ㅇㅖ 나와 놀아줄새램이 생겨따
1f616,ㅋㅋㅋㅋㅋ초반에 음식 이야기하가가 이것저것 겹쳐서 다양하게 이야기하게 될 줄은 감격이다 
2665,인정한다 ㅜㅜ 
1f610,웨요 
1f624,단도는 그냥 전반적으로 관심이 낮았는데 일단 극단 돌리면서 6극단은 너무 좋아하게 됐고ㅋㅋㅋㅋ 야겐 야겐 으아아아아아아아 본래 야겐도 그저 그랬는데 극에서 무슨 진화를 해낸데다 너무 탈단도가 되어버렸엌ㅋㅋㅋㅋㅋ 오빠 멋져
1f60d,꾜미보노님도 잘자요 
1f495, 생츅츅츅카츄카츄 
1f44a,오빠는 우리순서만 기다리고 있는다고 한다퍽퍽 
1f648,올해도 부족한 저 덕후잘부탁드려요 자연스러운 흐름
1f60c, 찬나잇 
1f614,하루만 너와 내가 함께할 수 있다면 
1f620,우리 개굴님 힘내세여 그 망할팀원들 명존쎄 해드리고 싶어요ㅠㅠ 
1f633,막막 자꾸 챙겨주니까 두근두근 완전조아 
1f637,마자요 심지어 몇몇은 외웠어요 흑 ㅜㅜ 자료도 조심해서 알티하는거 습관되어서 
1f60a,나는 카라이치를 넘 좋아해 
1f60e,ㅋㄱㅋㄱㅋㄱㄱㅋㄱㅋㅋㄱㅋㅋ헉ㄱ ㅋㅌㄱㅋㄱㅋ 해윰님의 유일한 마약이 될ㄹ게요 
1f604,깨륵깨륵 이거 재밌다 
1f62b,윤두준 잘생김 모르는 사람이랑은 겸상하지 말아야지 아니 말고 섞지 말아야지 윤두준하면 측통령 아니었어여 턱선을 비롯해 이마부터 코 찍고 턱까지 그 옆선이 너무 환상적이잖아근데 이 남자가 눈썹도 잘 생겼다고아니 근데 입꼬리도 눈도 
1f62d,ㅋㅋㅋ그래요랄까 유환이 비설 찌통이네요ㅠㅠㅠㅠ왜 가족들 죽이고 그래요ㅜㅜㅜ헉 유환이 다리는 이제 괜찮죠 
1f645,    윤기에죽고윤기에사는슙올수니 정구기랑동갑수니 고등학생부터와쥬세요 갠타 하면잡으러갑니닷 
1f62b,쟤님두 돔기다림사람이시져 힝 그냥 15돔 직전에 유어넘버 나왔던 생각이 겹쳐서 하는 말이니까요   할꺼 하하겠죠 하죠 하나요 후에
1f44c, 수님이 보라면 봐야지
1f618,내 비포 한 달동안 정말 많이 수고했어요 함께하는 시간들 너무 행복했어요 덕분에 216년 연말도 잘 보내고 이렇게 으샤으샤하게 217년 새해를 맞이할 수도 있네요 고마워요 모두 비포 덕 
2665,34 스피드운세677788 내일을 알아야돈을안다      
1f64f,언니두 나두 빨리 아물기를 헤헤 아냥 
1f605,1711 신촌 팬싸 프리뷰 손하트 전후 상황을 궁금해 하시는 분이 계셔서 이부분만 미리 올립니당 그냥 민규는 포즈를 취하고 싶었던걸로   
1f64f, 저기 현식 쎈빠이부탁이 있는데요 플레이그라운드 한번만 불러주세요광광 진짜ㅠㅠㅠ플레이그라운드 안들은 귀 사요 이거 들으면 하루종일 이거만 들어요ㅠㅠㅠ꼭 들어보세요 나른한 기분 우리 잠시만 누울까 
1f616,어름 목아프다더니 어름을 먹어꾸나 
1f62a, 1712     신나난난다 ㅎ 여러분도 힘힘힘 내세요 ㅎ   4
1f62b,1711 삐죽ㅇㅣ   
1f618,망더기 자기소개서 친해질 때나 팔로할 때 참고하세용 
270c,수제 크리스탈로 만든 헤어밴드  이거 쓰고 페스티벌같은데 가면 패피등극 아주 갖고싶다       89
1f60f,새해 복 많이 받기 위해서 경복궁에 왔다          8
2764, 준 모닝어제는 바이오 해저드2번째3를보고 왔습니다사령관  킥되는 느낌이 자극적이었습니다ㅋㅋ귀가 후는 격 연예 한밤하고 그날의 감동을 다시 여러 번 봐도 감동합니다배우 씨는 대만을 준비 중 이군요힘내 주세요화이팅 
1f602,제 본진돌님들께서 열활동중이셔서본계정에서 트잉트잉하게 살고있습니다 
1f62a,    축하에서 많이 마시고 아직 침대 속  올해도 잘요 
1f611,이휘재 어제 자꾸 수상소감에 지방방송 넣어서 개짜증났다 남의 경사에 자꾸 헛소리하지 말기
1f621,슴 에리들 희망고문 그만하라고 어서 명단을 내놔 
1f60c, 빈이시 쁠2 넘오랭만
1f610, 오빠 89613938711232512
1f634,으어어억 아무것도 안 했는데 졸립니다 피곤해서 타자 칠 힘도 안 나요 그러니까 조금만 한 시간만 
1f44a,낭만있게 감사하구 행복했습니다 
1f4aa, 올해도
1f440, 알티잡아여 
1f616,한 삼십분생각하고있었는데 두시간정도 걸린데 작년에 벌을 늘리라했던 내가 원망스럽군
1f618,좋아좋아 완전 친하게지내자 굿낫 
1f616,공부하려 책상에 앉아서 폰하고 있어요 
1f604,생일 축하해요 우리 리더             사랑해요 
1f44f,신화 13집  스밍 이벤트 당발 늦어서 죄송합니다ㅠㅠㅠㅠㅠ 알티 추첨기는 쓸 줄 몰라서 어플 이용해서 추첨했구요 당첨자는  님과  님입니다 
2665,          쉽게 여자꼬시는 사이트 바로가기 5
1f621,첫덕질이면 그래도 된다는 거예요 한국오자마자 본 게 그거라 잠시 잠이 덜깼나 의심 
1f64a,징밍님 아직 안주무시네요 민석시 감사해요 
1f64a,헉 저도 너모 좋아요 영업해주셔서 감사합니다 ㅋㅋㅋㅋㅋ 월님 아니였으면 여기까지 오지도 않았죠 암
1f620,코디 반성해 
1f602,올해 시작부터정말 
1f496,오하요 잘잣어여 오늘도가족와따뜻한하루를보내세용 어제12시넘으면친구에게생축메시지받앗고넘행복해 수요일인데쇼룸이없어서ㅜ민수얼굴못보지만이번일요일이만날수잇으니까 기대하면서 지낼게밤엔한국어학원도잇고 
1f496, 윤기시 윤기야 오늘도 많이 사랑해 고마워 
1f615,물고기가 어딕션 홀리데이 보면서 누가 저런 흰끼 도는 걸 쓴다고 하고 있었는데 고개를 드니 날꿈이 있었다고 한 말이 생각납니다
2764,너굴님두 좋은하루 보내세요 
1f3b6,ㄴㄴ 민증이 내 품에 오는걸 기대하눈거 
1f52b,그 뒤에 따라가는 건 나야 
1f64c, 코르듀이 양털 자켓 17 마감 색상 1가지 사이즈 가슴둘레14소매62길이64오차범위13 가격 39원 택배비 25원 구매링크 2
1f44c,잉잉 고마웡 담엔 꼭 같이 마시자 
1f60d,ㅋㅋ 보기만해도 기분업 ㅋㅋ 즐거운 로펀고 새해를시작 기분넘좋아용 
1f495,미키드 몸상태 나빴는데도 잘 했다 다음번은 몸상태 좋아져서 최고의 노래 들려줘 주세요 기다리고 있습니다 조심해서 가세요 
1f44a,ㅠㅠㅠㅜ허억 정말요 다롱님 일이 많으시다니요ㅜㅜㅜ푹 쉬셔도 모자랄 방학에  ㅜㅜㅜ힝ㅜㅜ제가 다 뚜까 패부릴랑께요울 다롱님 쉬게해조라퍽푹팍 
1f498,내일 칭구들 만나러 가는 고미 잘자 
1f62b,하겐다즈 신제품  캐러멜모찌바이트 바닐라 아이스크림에 카라멜시럽이 섞여 있고 투명한 회색으로 보이는 모찌가 중간중간 들어있어요 모찌를 빼면 아이스크림은 평범한데 모찌의 식감 때문에 멈출 수가 없어요 2
1f615,  오늘은 꼭 올려야지
1f613,베니의 목소리가 셜록의 완성인데 내용은 둘째 치더라도 베니 목소리 없는 셜록이란 
1f629,자기만 그런 거 아님 그렇게밖에 생각할 수 없게 몰아가는 나란걸 난 여태도 그런데역시 자긴 조로  머리론 알아도 멘탈이 마음이
270c,니 모든 걸 받아주는 단 한 사람   바로 나야 널 결국 나야 
1f60d,헤헤 아카쨩님 안녕하세요 찾아와주셔서 감사합니댯ㅜㅠ 헤헿 예뿐애들이 넘쳐나죠ㅜㅜㅠ저도 같이 즐거운 덕질하고싶어요 잘 부탁드립니댯 
1f610,동생이 전복 먹어 라는 걸 정국이 라고 들어서 눈총 바다따 
1f608,ㅋㅋㅋㅋㅋㅋㅋㅋ이런 말 들으면 진짜 그렇게 보이지 않나요 아님
1f634,잘자 
1f3b6,161227 인천공항 출국          심쿵해보면 볼 수록 쿵쿵대 미칠것 같아 
270b,안녕하세요 오빠 좋은 하루 되세요 
1f44c,허어억ㄴ마자요ㅠㅜ진짜 그 일러 왕왕 섹시하고ㅠㅠㅜㅜ  교도관ㄴ이 오소라니 역시 캣님 저를 실망시키지않으시는군요 
1f60c,ㅠㅠㅠㅠㅠㅠ으엉비남님ㅜㅠㅠㅠㅠㅠㅠ저도 비남님 연성 짱좋아해여 그리구 비남님 트윗들 하나하나 너무 말씀을 잘하셔서 반한다구 흐흑 올해는 또 끝경 두개쯤 나올테니까 교류많이해여 비남님 많이사랑해여 
1f648, 용국이오빠 앞만보고 달려와줘서 고맙고 좋은말만듣고 예쁜것만보고 좋겠고 아프지말고 언제나 옆에서 응원할게요 언제나 의 팬이란게 자랑스러워요 베이비라서 얼마나 행복하고 자랑스럽지 몰라요 잘자요 
1f603,제목은 들어본 적 있어요 읽어봐야 겠네요 
1f44c,심풀이 딜이 이럼 
1f440,해시태그 안 달고 올렸다가 급히 지운거 아무도 못 봤을거야 
1f612,하지만 만들기엔 으음 만들면 그냥 뿌리거 같가도 하고요 
1f611,베이리때도 그러더니 달각 수인버젼 지뢰취급 하는 사람들 볼때마다 거슥한게 나 혼자가 아니었네 내취향은 아니지만 누군가에겐 취향일수도 있는데 조심 좀 하면 안되나 글고 수인중에서도 사이가랑 코우가는 귀여운축 아닌가 
1f614, 녹차님이 믿을 사람 없다더니 
1f613,저게 맞는지도 모르겠고 1위권 이내기라도 했으면 서울대 법대라고 했을 것 같아요 그리고 본인 주장에 의하면 이재명 영어 잘 못해요 
1f614,맞팔은 안해주시는 건가요 
1f621,비선실세의혹때도 국기문란 유언비어 괴담유포 엄단한다고 
1f604,연습할때나 과외할때 졸면 안되는데 결국 그렇게 되겠지 
1f495,수달은 최고지예 
1f60a,응 라미도 출근잘해 
1f604,네 당연히 가능하죠앞으로 잘 부탁드려요 
1f621,나두 콜라 
1f620,  가영어는  정지훈 비 82
1f648,2평생 만화에 몸바쳐 산 동정 로한과 혈기왕성 청소년 답게 볼거 보고 뺄거 빼고 산 죠스케의 첫 세규슈 보고싶네요 죠스케는 로한이랑 사귀기 시작하고 혼자 할 때 처음으로 뒷쪽 써봤는데 이젠 앞만으론 부족해버려 
1f611,매대에서도 제법 보이던데 서점이 한두곳도 아니고 지들이 다니던 곳은 없었다고 저리 주장하다니 
1f610,앗 
1f44a,마음만이라도 너무너무 고마운걸요 무나님도 이래저래 생각 많으셨을텐데 고생 많으셨어요 토닥토닥 항상 즐거운 일만 있으라는 말은 해주지 못하겠지만 힘들때마다 버텨주라고 응원이라도 해주고 싶어요 같이 화이팅해요 
2728,  스포츠배팅사이트 철저한신뢰 89 코드82 신규첫1매충7 7년차 검증사이트 스포츠배팅사이트
1f496,후니시 
1f605,귀여운거 엄청 좋아해요 리락쿠마라던가 얌얌즈라던가 ㅜㅜㅜ스위머도 좋아하고요  29세에 팬콧 오리티를 입는 사람이 여기있어요 
1f633, 부들
1f60a,제가 더요 
1f60a,네에에 그런데 신장은 어디가서 파는지 아세요  
1f602,     21711 가요대제전  이 오빠가 지금 일산 빨리 가야된다고 무슨 자기한테 전화 해줄라고그런데 번호 안 남기고 갔다 
1f60f,타니안타니 오빠들 저기서 셀카 찍고 있다 토오빠가 저거 올려주시겠지 
1f611,깨지다뇨 지금 우리 존잘님 글씨한테 뭐라 그러시는건가요 아무리 다영님이라면 그런거 용서해요 아무말
1f623,셜록 오눌만을 기다렸다 
1f629,새해복많이 받아요 우리 한해동안 수고많았지요 사랑하는 내사람들 내년에도 열일해서 받은사랑 잘 보답하며 살게요 217년도 화이팅 문밥써니아니고선희 
1f648,정말 당신이란 녀자 넘 머시땈 또 반해버려땈ㅎ 얼른 배라가서 혜피해지고 싶따 
270b,방탄소년단 윙즈콘 첫날 원가양도 구합니다 수고비 말고 미친 가격 플미벌레는 안 받아요 팬 인증 할 수 있습니다 디엠 주세요 왕복 12시간 지방수니라 4층은 죄송합니다ㅠ     
1f44c,쪼금 
1f613,심심해서 해보기는 하는데 요즘은 알티 질문도 디게 쎄졌길래 라잇이만의 목록으로 수정해서 올리는 것  혈액형  키  성격  올해목표  나이  버킷리스트 12개  즐겨듣는 노래
2764,크리스마스 맞이 기념 이벤트는 추첨 결과  님이 당첨되셨어요 확인 후 전력계정으로  보내주세요  다들 새해 복 많이 받으시고 즐거운 한 주가 되시기를 바라며 1월 9일 새해 두 번째 월요일에 다시 만나뵙겠습니다 
270b,대전랜덤채팅  소개팅닷컴 화상채팅  무야넷야동  아줌마채팅방   2
1f52b,주머니 주섬주섬  
1f64a,헉 운덩문제가아닌거같애 설하에게 요양을 권한다 
1f604,생일 축하합니다 오늘은 행복한 날 미소 유지     
1f620,닭년이지는 예수님과 같다고 했단다 
1f614,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그러니까요 돈을 제가 냈다면 아마 더 억울했을텐데 그것까지는 아니어서 조금 덜 억울했어요 있다 저녁때 또 어디간다는데 그때 많이 먹어야 그치만 닭은 아니라고 해서 조금 시무룩한것입니다 
1f648, 실시간양방 앥켫챺챇븠    주소   
1f60a, 안녕 다행이네다행이네축하 3명도 올께 오늘로 끝나다니 이제 막 시작된 마당에 후회 없도록 멋진 추억이 화이팅
1f637,  오늘부터 다시 학교에 가야해요
270c,너가 어딜 가든 나는 너를 따라갈거야 
1f612,셜록 제작진보다 맨유 선수들이 드라마 더 잘 만드는 듯 보고 좀 배워라 
1f49c, 박제 214816349212132589568
1f52b,나 너무 졸려서 한이계정으로 졸려 잘꾸야 할 뻔 했고 라단 1주년 감축드린다 할 번핵고 이거 이걸로 써서 보낼뻔 햇도웃겨서 피식거림
1f614,진짜 어디서 부터 누가 뭘했길래 투표를해도 1위를 해도 상을 못받는지 알고싶네요 팬들이 소리질러도 꿈쩍도 안하고 어디서부터 잘못된건지 우리애들 없는상 달라는것도 아닌데 말이져ㅠㅠ 진차 너무 속상해요ㅠㅠㅠ
1f3b6, 여기로 와주세요 
1f609,ㅋㅋㅋㅋㅋㅋㅋㅋ저도 다 만들고 싶어요 단델리온님도 놀러올게죠218장 보여줄게요 
1f624, 출근 
2764, ㅎㅎ
1f60f,오호오 이왕 손 잡아주시는 김에 높은곳 무서우니까 아이컨택도 해줘요 
1f44c,내 몫까지 르꼬끄가 외쳐주니 춘례는 너무 편하고 좋아 르꼬끄 화이팅  영혼이 없음이다
1f613,맞습니다 이녕이 이케이케 예쁜데 제가 이뻐봤자 무슨 소용인가요 덕분에 전 넉달간 미용실도 안가고 요 근래 사람 몰골이 아니었 
1f621,자기 소속이 어딘지 모르고 저렇게 설치는 걸 보고 경상도에서는 꼬대긴다고 함미다 당신 말이지 
1f44d,고마유ㅓㅇ 
1f44c, ㄷ좀 더 연습해서 다음에도 그려봐야겠어요 어ㄱ막 갑작스레 ㄱ드려두 놀라지 말기입니다 
1f64f, 영원히 같이가요 6 사랑해요 역시 6              진심으로 감사합니다 죽하해요 
2728,통신사에서 행사도 하고 원래 쓰던 폰도 용량 너무 적어서 문제가 많았어서 이참에 바꿔버렸어요 7 이미 나온 뒤라 6 재고가 너무 적어서 찾기 엄청 힘들었어요 엉엉
1f60b,헉ㄷ 저쪽에 급하게 셔터내리는 트친이 계셔 어서 막아야돼ㅋㅋㅋㅋㅋㅋ 넝담ㅎ 
1f64f,자동으로 눈떠지는 새벽 ㅠㅠㅠㅠㅠㅠㅠ 읭님께서도 어서 주무세용 
1f604,저도 왜 안 주무시는 냐묘님을 보려고 안 자고 있는 걸까요 
2728,이주승의 3단 표정 변화와 함께 즐거운 아침 
270b,예아 하이파이브
1f64f,크흡 제발 남자친구 주세오 젭알 꿈 깨고 현타오더라ㅠㅠ 나 너무 수치스러웠어 얄라야ㅠㅜㅜㅠㅜㅠㅠㅠㅜ
1f623,졸립ㅂ다ㅏ 두둘님과ㅏ 크로님께ㅔ 인사ㅏ해ㅐ야지
1f49c, 오빠의 첫공까지 2 제가 다 떨려요 흐앙 차베니 넘 기대되는 것 
1f605, 울배우님 운동에 다욧까지 하느라 걱정도 되지만 배우님의 217년 첫 계획이니 일단은 잘 이루길 바라네요 오늘밤도 건강을 위해 평안히 잘 자요 아그리고 오랜만에 트윗과 공홈에서 배우님을 만나니 무지 반갑네요 
1f614, 언니 나 대전 
2728, 오하 휴가가 끝나 오늘부터 일합니다 성제씨에게 많이 만나기 위해서 열심히 하므로 사랑을 주세요 농담입니다 ㅎㅎ 성제씨에게는 언제나 사랑을 많이 받고 있으므로 감사하고 있습니다 고마워요 오늘도 파이팅 
1f62c, 아이셔님 안녕하세요 윤지 팬 어린이에요 맞팔부탁드려욤 
1f604,헉 좋아요 바로 문의 드리겠습니다 
1f499, 1  십센치  봄이 좋냐         1
1f61e,나 엘지  이게 어떻게 보인다구
1f44c,차이  19  
1f60f,우하하 완전 공감 그냥 읽고만 갈 수 없네요 푹 쉬세요
270c,자기팬 카메라 귀신같이 찾아서 해주고 안냥 인사해주는 팬바부 우혀니 안 사랑스럽 냐구여 593
1f609,그냥 귤언니ㅋㅋㅋ난 그냥 윤이라고 부를까 
1f610,응응 편하게하쟈 내 탐라 트윗들 프로필에 답글 좀 달아줘 기억력이 붕어라 
1f498,미쳐땈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ와우 역시 우린 
1f4af,  89 코드82 안전토토사이트 믿고오세요 
1f4aa,웅 트친이랑 갈꺼같아 
1f64a,언니 안녀엉 좋은 꿈 꾸고 잘 자요 
1f620,난 언팔한적없는데 누군가가 나 블언블함 왠지모르게 기분이 매우 나쁘군 
1f601,굿모닝 
1f4aa,좌빨이 미친듯 설쳐도 우린 이렇게 웃어가며 싸워야 정신적 기력보강이 되지 말입니다 필요하면 우리도 미친듯 싸워줄수도 있지 말입니다 
